"manual_q2_node"; "code";"title"
"productie"; "3514";Handel in elektriciteit en in gas via leidingen
"productie"; "3520";Productie van biogas
"productie"; "3530";"Productie en distributie van stoom, warm water en gekoelde lucht"
"groothandel"; "46762";Groothandel in papier en karton
"groothandel"; "46769";Groothandel in overige intermediaire producten (rest)
"groothandel"; "4677";Groothandel in afval en schroot
"groothandel"; "46771";Groothandel in autosloopmateriaal
"groothandel"; "46772";Groothandel in ijzer- en staalschroot en oude non-ferrometalen
"groothandel"; "46779";Groothandel in overige oude materialen en afvalstoffen
"groothandel"; "4690";Niet-gespecialiseerde groothandel
"groothandel"; "46901";Niet-gespecialiseerde groothandel in consumentenartikelen
"groothandel"; "46902";Niet-gespecialiseerde groothandel in niet-consumentenartikelen
"overige"; "5812";Databanken
"sport"; "85512";Sportinstructeurs
"overige"; "9700";Huishoudens als werkgever van huishoudelijk personeel
"productie"; "9810";Niet-gedifferentieerde productie van goederen door particuliere huishoudens voor eigen gebruik
"productie"; "9820";Niet-gedifferentieerde productie van diensten door particuliere huishoudens voor eigen gebruik
"overige"; "9900";Extraterritoriale organisaties en lichamen
