bron_sbi_code|bron_omschrijving|cbs_sbi_code|q1|q2|q3
1072|Vervaardiging van beschuit en koekjes en ander houdbaar banketbakkerswerk|1072|productie, installatie, reparatie|productie|Vervaardiging van beschuit en koekjes en van ander houdbaar banketbakkerswerk
1073|Vervaardiging van deegwaren|1073|productie, installatie, reparatie|productie|Vervaardiging van deegwaren
1081|Vervaardiging van suiker|1081|productie, installatie, reparatie|productie|Vervaardiging van suiker
10821|Verwerking van cacao|10821|productie, installatie, reparatie|productie|Verwerking van cacao
10822|Vervaardiging van chocolade en suikerwerk|10822|productie, installatie, reparatie|productie|Vervaardiging van chocolade en suikerwerk
1083|Verwerking van koffie en thee|1083|productie, installatie, reparatie|productie|Verwerking van koffie en thee
1084|Vervaardiging van specerijen, sauzen en kruiderijen; zoutraffinage|1084|productie, installatie, reparatie|productie|Vervaardiging van specerijen, sauzen en kruiderijen; zoutraffinage
1085|Vervaardiging van kant-en-klaarmaaltijden en snacks|1085|productie, installatie, reparatie|productie|Vervaardiging van kant- en klaarmaaltijden en snacks
1086|Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding|1086|productie, installatie, reparatie|productie|Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding
1089|Vervaardiging van overige voedingsmiddelen n.e.g.|1089|productie, installatie, reparatie|productie|Vervaardiging van overige voedingsmiddelen (rest)
1091|Vervaardiging van veevoeders|1091|productie, installatie, reparatie|productie|Vervaardiging van veevoeders
1092|Vervaardiging van voeders voor huisdieren|1092|productie, installatie, reparatie|productie|Vervaardiging van voeders voor huisdieren
1101|Vervaardiging van sterk alcoholische dranken door distilleren, rectificeren en mengen|1101|productie, installatie, reparatie|productie|Vervaardiging van sterk alcoholische dranken door distilleren, rectificeren en mengen
1102|Vervaardiging van wijn uit druiven|1102|productie, installatie, reparatie|productie|Vervaardiging van wijn uit druiven
1103|Vervaardiging van cider en van overige vruchtenwijnen|1103|productie, installatie, reparatie|productie|Vervaardiging van cider en van overige vruchtenwijnen
1104|Vervaardiging van overige niet-gedistilleerde gegiste dranken|1104|productie, installatie, reparatie|productie|Vervaardiging van overige niet-gedistilleerde gegiste dranken
1105|Vervaardiging van bier|1105|productie, installatie, reparatie|productie|Vervaardiging van bier
1106|Mouterijen|1106|productie, installatie, reparatie|productie|Mouterijen
1107|Vervaardiging van frisdranken; productie van mineraalwater en overig gebotteld water|1107|productie, installatie, reparatie|productie|Vervaardiging van frisdranken; productie van mineraalwater en overig gebotteld water
111|Teelt van granen, peulvruchten en oliehoudende zaden||landbouw|teelt eenjarige gewassen|
113|Teelt van groenten en wortel- en knolgewassen||landbouw|teelt eenjarige gewassen|
1131|Teelt van groenten in de volle grond||landbouw|teelt eenjarige gewassen|
1132|Teelt van groenten onder glas||landbouw|teelt eenjarige gewassen|
1133|Teelt van paddenstoelen||landbouw|teelt eenjarige gewassen|
1134|Teelt van aardappels en overige wortel- en knolgewassen||landbouw|teelt eenjarige gewassen|
116|Teelt van vezelgewassen||landbouw|teelt eenjarige gewassen|
119|Teelt van overige eenjarige gewassen||landbouw|teelt eenjarige gewassen|
1191|Teelt van snijbloemen en snijheesters in de volle grond||landbouw|teelt eenjarige gewassen|
1192|Teelt van snijbloemen en snijheesters onder glas||landbouw|teelt eenjarige gewassen|
1193|Teelt van voedergewassen||landbouw|teelt eenjarige gewassen|
1199|Teelt van overige eenjarige gewassen (rest)||landbouw|teelt eenjarige gewassen|
1200|Vervaardiging van tabaksproducten|1200|productie, installatie, reparatie|productie|Vervaardiging van tabaksproducten
121|Druiventeelt||landbouw|teelt meerjarige gewassen|
124|Teelt van pit- en steenvruchten||landbouw|teelt meerjarige gewassen|
1241|Teelt van appels en peren||landbouw|teelt meerjarige gewassen|
125|Teelt van overige boomvruchten, kleinfruit en noten||landbouw|teelt meerjarige gewassen|
1251|Teelt van aardbeien in de volle grond||landbouw|teelt meerjarige gewassen|
1252|Teelt van aardbeien onder glas||landbouw|teelt meerjarige gewassen|
1253|Teelt van houtig kleinfruit in de volle grond (incl. overige boomvruchten en noten)||landbouw|teelt meerjarige gewassen|
127|Teelt van gewassen bestemd voor de vervaardiging van dranken||landbouw|teelt meerjarige gewassen|
128|Teelt van specerijgewassen en van aromatische en medicinale gewassen||landbouw|teelt meerjarige gewassen|
129|Teelt van overige meerjarige gewassen||landbouw|teelt meerjarige gewassen|
130|Teelt van sierplanten||landbouw|Teelt van sierplanten|
1301|Teelt van bloembollen||landbouw|Teelt van sierplanten|
1302|Teelt van perkplanten in de volle grond||landbouw|Teelt van sierplanten|
1303|Teelt van perkplanten onder glas||landbouw|Teelt van sierplanten|
1304|Teelt van potplanten onder glas||landbouw|Teelt van sierplanten|
1305|Teelt van boomkwekerijgewassen in de volle grond||landbouw|Teelt van sierplanten|
1309|Teelt van overige sierplanten in de volle grond||landbouw|Teelt van sierplanten|
1310|Bewerken en spinnen van textielvezels|1310|productie, installatie, reparatie|productie|Bewerken en spinnen van textielvezels
1320|Weven van textiel|1320|productie, installatie, reparatie|productie|Weven van textiel
1330|Textielveredeling|1330|productie, installatie, reparatie|productie|Textielveredeling
1391|Vervaardiging van gebreide en gehaakte stoffen|1391|productie, installatie, reparatie|productie|Vervaardiging van gebreide en gehaakte stoffen
1392|Vervaardiging van geconfectioneerde artikelen van textiel (geen kleding)|1392|productie, installatie, reparatie|productie|Vervaardiging van geconfectioneerde artikelen van textiel (geen kleding)
1393|Vervaardiging van vloerkleden en tapijt|1393|productie, installatie, reparatie|productie|Vervaardiging van vloerkleden en tapijt
1394|Vervaardiging van koord, bindgaren, touw en netten|1394|productie, installatie, reparatie|productie|Vervaardiging van koord, bindgaren, touw en netten
1395|Vervaardiging van gebonden textielvlies en artikelen daarvan (geen kleding)|1395|productie, installatie, reparatie|productie|Vervaardiging van gebonden textielvlies en artikelen daarvan (geen kleding)
1396|Vervaardiging van technisch en industrieel textiel|1396|productie, installatie, reparatie|productie|Vervaardiging van technisch en industrieel textiel
1399|Vervaardiging van overige textielproducten n.e.g.|1399|productie, installatie, reparatie|productie|Vervaardiging van overige textielproducten (rest)
141|Fokken en houden van melkvee|141|landbouw|fokken en houden van melkvee|
1411|Houden van melkvee|1411|productie, installatie, reparatie|productie|Vervaardiging van kleding van leer
1411|Vervaardiging van kleding van leer|1411|productie, installatie, reparatie|productie|Vervaardiging van kleding van leer
1412|Opfokken van jongvee voor de melkveehouderij|1412|productie, installatie, reparatie|productie|Vervaardiging van werkkleding
1412|Vervaardiging van werkkleding|1412|productie, installatie, reparatie|productie|Vervaardiging van werkkleding
1413|Vervaardiging van overige bovenkleding|1413|productie, installatie, reparatie|productie|Vervaardiging van overige bovenkleding
1414|Vervaardiging van onderkleding|1414|productie, installatie, reparatie|productie|Vervaardiging van onderkleding
1419|Vervaardiging van baby- en sportkleding en kledingaccessoires|1419|productie, installatie, reparatie|productie|Vervaardiging van overige baby- en sportkleding en kledingaccessoires
142|Fokken en houden van runderen (geen melkvee)|142|landbouw|fokken, houden dieren|
1420|Vervaardiging van artikelen van bont|1420|productie, installatie, reparatie|productie|Vervaardiging van artikelen van bont
1421|Houden van vleeskalveren||landbouw|fokken, houden dieren|
1422|Overige vleesveehouderij en zoogkoeienbedrijven||landbouw|fokken, houden dieren|
143|Fokken en houden van paarden en ezels|143|landbouw|fokken, houden dieren|
1431|Vervaardiging van gebreide en gehaakte kousen en sokken|1431|productie, installatie, reparatie|productie|Vervaardiging van gebreide en gehaakte kousen en sokken
1439|Vervaardiging van gebreide en gehaakte kleding (geen kousen en sokken)|1439|productie, installatie, reparatie|productie|Vervaardiging van gebreide en gehaakte kleding (geen kousen en sokken)
145|Fokken en houden van schapen en geiten||landbouw|fokken, houden dieren|
1451|Fokken en houden van schapen||landbouw|fokken, houden dieren|
1452|Fokken en houden van geiten||landbouw|fokken, houden dieren|
146|Fokken en houden van varkens||landbouw|fokken, houden dieren|
1462|Vleesvarkensbedrijven||landbouw|fokken, houden dieren|
1463|Gesloten en deels gesloten varkensbedrijven||landbouw|fokken, houden dieren|
147|Fokken en houden van pluimvee||landbouw|fokken, houden dieren|
1471|Opfokken en/of houden van leghennen||landbouw|fokken, houden dieren|
1472|Opfokken en/of houden van vleeskuikens||landbouw|fokken, houden dieren|
149|Fokken en houden van overige dieren||landbouw|fokken, houden dieren|
1499|Fokken en houden van overige dieren (rest)||landbouw|fokken, houden dieren|
150|Akker- en/of tuinbouw in combinatie met het fokken en houden van dieren||landbouw|Akker- en/of tuinbouw in combinatie met het fokken en houden van dieren|
1511|Looien en bewerken van leer; bereiden en verven van bont|1511|productie, installatie, reparatie|productie|Looien en bereiden van leer; bereiden en verven van bont
1512|Vervaardiging van koffers, tassen e.d. en van zadel- en tuigmakerswerk|1512|productie, installatie, reparatie|productie|Vervaardiging van koffers, tassen en dergelijke en van zadel- en tuigmakerswerk
1520|Vervaardiging van schoenen|1520|productie, installatie, reparatie|productie|Vervaardiging van schoenen
161|Dienstverlening voor de akker- en/of tuinbouw|161|landbouw|Dienstverlening voor de akker- en/of tuinbouw|
16101|Zagen en schaven en overige primaire houtbewerking|16101|productie, installatie, reparatie|productie|Zagen en schaven en overige primaire houtbewerking
16102|Verduurzamen van hout|16102|productie, installatie, reparatie|productie|Verduurzamen van hout
162|Dienstverlening voor het fokken en houden van dieren|162|landbouw|Dienstverlening voor het fokken en houden van dieren|
1621|Vervaardiging van fineer en plaatmateriaal op basis van hout|1621|productie, installatie, reparatie|productie|Vervaardiging van fineer en plaatmateriaal op basis van hout
1622|Vervaardiging van panelen voor parketvloeren|1622|productie, installatie, reparatie|productie|Vervaardiging van panelen voor parketvloeren
16231|Vervaardiging van deuren, ramen en kozijnen van hout|16231|productie, installatie, reparatie|productie|Vervaardiging van deuren, ramen en kozijnen van hout
16239|Vervaardiging van overig timmerwerk voor de bouw (geen deuren, ramen en kozijnen)|16239|productie, installatie, reparatie|productie|Vervaardiging van overige timmerwerk voor de bouw (geen deuren, ramen en kozijnen)
1624|Vervaardiging van houten emballage|1624|productie, installatie, reparatie|productie|Vervaardiging van houten emballage
1629|Vervaardiging van overige artikelen van hout en van artikelen van kurk, riet en vlechtwerk (geen meubels)|1629|productie, installatie, reparatie|productie|Vervaardiging van overige artikelen van hout en van artikelen van kurk, riet en vlechtwerk (geen meubels)
163|Behandeling van gewassen na de oogst||landbouw|Dienstverlening voor het fokken en houden van dieren|
164|Behandeling van zaden voor vermeerdering||landbouw|Dienstverlening voor het fokken en houden van dieren|
170|Jacht||landbouw|jacht|
1711|Vervaardiging van papierpulp|1711|productie, installatie, reparatie|productie|Vervaardiging van papierpulp
17121|Vervaardiging van grafisch papier en karton|17121|productie, installatie, reparatie|productie|Vervaardiging van grafisch papier en karton
17122|Vervaardiging van papier en karton voor verpakking|17122|productie, installatie, reparatie|productie|Vervaardiging van papier en karton voor verpakking
17129|Vervaardiging van papier en karton (geen grafisch en niet voor verpakking)|17129|productie, installatie, reparatie|productie|Vervaardiging van papier en karton (geen grafisch en niet voor verpakking)
17211|Vervaardiging van verpakkingsmiddelen van papier en karton|17211|productie, installatie, reparatie|productie|Vervaardiging van verpakkingsmiddelen van papier en karton
1723|Vervaardiging van kantoorbenodigdheden van papier|1723|productie, installatie, reparatie|productie|Vervaardiging van kantoorbenodigdheden van papier
1724|Vervaardiging van behangselpapier|1724|productie, installatie, reparatie|productie|Vervaardiging van behangselpapier
1729|Vervaardiging van overige papier- en kartonwaren|1729|productie, installatie, reparatie|productie|Vervaardiging van overige papier- en kartonwaren
1811|Drukkerijen van dagbladen|1811|productie, installatie, reparatie|productie|Drukkerijen van dagbladen
18121|Drukkerijen van boeken e.d.|18121|productie, installatie, reparatie|productie|Drukkerijen van boeken e.d.
18122|Drukkerijen van tijdschriften|18122|productie, installatie, reparatie|productie|Drukkerijen van tijdschriften
18123|Drukkerijen van reclame|18123|productie, installatie, reparatie|productie|Drukkerijen van reclame
18124|Drukkerijen van verpakkingen|18124|productie, installatie, reparatie|productie|Drukkerijen van verpakkingen
18125|Drukkerijen van formulieren|18125|productie, installatie, reparatie|productie|Drukkerijen van formulieren
18129|Overige drukkerijen n.e.g.|18129|productie, installatie, reparatie|productie|Overige drukkerijen (rest)
1813|Prepress- en premedia-activiteiten|1813|productie, installatie, reparatie|productie|Prepress- en premedia-activiteiten
1814|Grafische afwerking en overige activiteiten verwant aan de drukkerij|1814|productie, installatie, reparatie|productie|Grafische afwerking en overige activiteiten verwant aan de drukkerij
1820|Reproductie van opgenomen media|1820|productie, installatie, reparatie|productie|Reproductie van opgenomen media
1910|Vervaardiging van cokesovenproducten|1910|productie, installatie, reparatie|productie|Vervaardiging van cokesovenproducten
